representation,compartment,bootstrap_id,ari,nmi,nn_accuracy,silhouette
stack,all,170,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.045731883496046066
stack,all,171,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.03466808795928955
stack,all,172,0.26666666666666666,0.5239645650766063,0.2222222222222222,0.04509783163666725
stack,all,173,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.04573635756969452
stack,all,174,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.0398634672164917
stack,all,175,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.027145227417349815
stack,all,176,0.07142857142857142,0.3930065516315367,0.3333333333333333,0.03002483956515789
stack,all,177,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.025430498644709587
stack,all,178,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.03849601000547409
stack,all,179,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.03644980117678642
stack,all,180,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.041333992034196854
stack,all,181,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.06992922723293304
stack,all,182,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.035830073058605194
stack,all,183,0.26666666666666666,0.5239645650766063,0.1111111111111111,0.029636405408382416
stack,all,184,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.04804722219705582
stack,all,185,0.07142857142857142,0.3930065516315366,0.2222222222222222,0.035962413996458054
stack,all,186,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.05406852439045906
stack,all,187,0.26666666666666666,0.5239645650766063,0.2222222222222222,0.02029835432767868
stack,all,188,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.046941082924604416
stack,all,189,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.048062488436698914
stack,all,190,0.26666666666666666,0.5239645650766062,0.2222222222222222,0.025111021474003792
stack,all,191,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.02766619808971882
stack,all,192,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.01987331174314022
stack,all,193,0.07142857142857142,0.3930065516315367,0.2222222222222222,0.044907234609127045
stack,all,194,0.07142857142857142,0.3930065516315367,0.1111111111111111,0.03302176296710968
stack,all,195,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.05136597901582718
stack,all,196,0.26666666666666666,0.5239645650766063,0.3333333333333333,0.04004868119955063
stack,all,197,0.26666666666666666,0.5239645650766062,0.3333333333333333,0.023967424407601357
stack,all,198,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.021513041108846664
stack,all,199,0.07142857142857142,0.3930065516315366,0.3333333333333333,0.053225625306367874
stack,epithelial,0,0.07142857142857142,0.3930065516315366,0.0,0.005858903285115957
stack,epithelial,1,0.07142857142857142,0.3930065516315366,0.0,0.0034788395278155804
stack,epithelial,2,0.0,0.31832981211857864,0.3333333333333333,-0.031571172177791595
stack,epithelial,3,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.032320987433195114
stack,epithelial,4,-0.16129032258064516,0.14378913248740022,0.0,-0.017143409699201584
stack,epithelial,5,0.07142857142857142,0.3930065516315366,0.1111111111111111,-0.027706462889909744
stack,epithelial,6,0.0,0.34247811980489706,0.1111111111111111,-0.012172088958323002
stack,epithelial,7,0.0,0.34247811980489706,0.1111111111111111,0.00046674575423821807
stack,epithelial,8,-0.13333333333333333,0.1690425887408266,0.2222222222222222,0.004231591243296862
stack,epithelial,9,0.26666666666666666,0.5239645650766063,0.3333333333333333,-0.010166858322918415
stack,epithelial,10,0.07142857142857142,0.3930065516315367,0.1111111111111111,-0.004827593918889761
stack,epithelial,11,0.07142857142857142,0.3930065516315366,0.0,-0.04734904319047928
stack,epithelial,12,-0.16129032258064516,0.14378913248740022,0.1111111111111111,0.007915081456303596
stack,epithelial,13,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.006994234398007393
stack,epithelial,14,-0.16129032258064516,0.14378913248740022,0.1111111111111111,-0.027648916468024254
stack,epithelial,15,-0.07142857142857142,0.2503486204735853,0.1111111111111111,-0.034426357597112656
stack,epithelial,16,0.0,0.34247811980489706,0.3333333333333333,-0.01085651945322752
stack,epithelial,17,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.02419249527156353
stack,epithelial,18,-0.16129032258064516,0.14378913248740022,0.2222222222222222,0.013157401233911514
stack,epithelial,19,-0.13333333333333333,0.1690425887408266,0.3333333333333333,-0.02420789934694767
stack,epithelial,20,-0.13333333333333333,0.16904258874082662,0.2222222222222222,-0.018949588760733604
stack,epithelial,21,-0.13333333333333333,0.1690425887408266,0.2222222222222222,-0.011583608575165272
stack,epithelial,22,-0.02564102564102564,0.29107184687679777,0.2222222222222222,-0.05270759388804436
stack,epithelial,23,-0.13333333333333333,0.16904258874082662,0.1111111111111111,-0.05575649440288544
stack,epithelial,24,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.015663763508200645
stack,epithelial,25,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.04491562023758888
stack,epithelial,26,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.0031115098390728235
stack,epithelial,27,-0.13333333333333333,0.16904258874082662,0.2222222222222222,-0.04434223845601082
stack,epithelial,28,0.07142857142857142,0.3930065516315366,0.1111111111111111,0.0030462252907454967
stack,epithelial,29,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.012965035624802113
stack,epithelial,30,-0.16129032258064516,0.14378913248740022,0.2222222222222222,-0.022082895040512085
stack,epithelial,31,0.07142857142857142,0.3930065516315367,0.2222222222222222,-0.021854184567928314
