representation,bootstrap_id,ari,nmi,nn_accuracy,silhouette
pca,16,0.06493506493506493,0.40490058363640974,0.0,0.06025087088346481
pca,17,0.06493506493506493,0.40490058363640974,0.0,0.0565170980989933
pca,18,0.06493506493506493,0.40490058363640974,0.0,0.09662024676799774
pca,19,0.06493506493506493,0.40490058363640974,0.0,0.046740658581256866
pca,20,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.05971960350871086
pca,21,0.06493506493506493,0.40490058363640974,0.0,0.06541014462709427
pca,22,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.021958300843834877
pca,23,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.03415951505303383
pca,24,0.06493506493506493,0.40490058363640974,0.0,0.07726161926984787
pca,25,0.06493506493506493,0.40490058363640974,0.0,0.04169239103794098
pca,26,0.06493506493506493,0.40490058363640974,0.0,0.05657382681965828
pca,27,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.05973218008875847
pca,28,0.06493506493506493,0.40490058363640974,0.0,0.03389466181397438
pca,29,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.05643163621425629
pca,30,0.06493506493506493,0.40490058363640974,0.3333333333333333,0.04120975360274315
pca,31,0.06493506493506493,0.40490058363640974,0.0,0.05071474611759186
pca,32,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.049194496124982834
pca,33,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.06646903604269028
pca,34,0.06493506493506493,0.40490058363640974,0.0,0.07744501531124115
pca,35,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.058896541595458984
pca,36,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.03224465623497963
pca,37,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.03898346796631813
pca,38,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.04485480487346649
pca,39,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.06685903668403625
pca,40,0.06493506493506493,0.40490058363640974,0.0,0.05858737230300903
pca,41,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.053733453154563904
pca,42,0.06493506493506493,0.40490058363640974,0.0,0.04289161041378975
pca,43,0.06493506493506493,0.40490058363640974,0.0,0.04370336979627609
pca,44,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.035595424473285675
pca,45,0.06493506493506493,0.40490058363640974,0.0,0.041334833949804306
pca,46,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.057135000824928284
pca,47,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.061158034950494766
pca,48,0.06493506493506493,0.40490058363640974,0.0,0.04009002447128296
pca,49,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.05053456127643585
pca,50,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.030694812536239624
pca,51,0.06493506493506493,0.40490058363640974,0.0,0.07087107002735138
pca,52,0.06493506493506493,0.40490058363640974,0.0,0.03072594292461872
pca,53,0.06493506493506493,0.40490058363640974,0.0,0.04468664526939392
pca,54,0.06493506493506493,0.40490058363640974,0.0,0.05447766184806824
pca,55,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.05720522627234459
pca,56,0.06493506493506493,0.40490058363640974,0.0,0.0601470060646534
pca,57,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.045656874775886536
pca,58,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.04289255663752556
pca,59,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.060212142765522
pca,60,0.06493506493506493,0.40490058363640974,0.0,0.060484204441308975
pca,61,0.06493506493506493,0.40490058363640974,0.0,0.05668148770928383
pca,62,0.06493506493506493,0.40490058363640974,0.0,0.04950331524014473
pca,63,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.051002081483602524
pca,64,0.06493506493506493,0.40490058363640974,0.1111111111111111,0.07215908169746399
pca,65,0.06493506493506493,0.40490058363640974,0.0,0.027277488261461258
pca,66,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.03749275580048561
pca,67,0.06493506493506493,0.40490058363640974,0.2222222222222222,0.08068498969078064
pca,68,0.06493506493506493,0.40490058363640974,0.3333333333333333,0.03356800973415375
