sample_id,histology_type,radiological_type,gender,organism,cohort,compartment,epithelial_score,immune_score,stromal_score,endothelial_score
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4981464413317366,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.5124001180240568,1.464708071339528,0.5124001180240568,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8756569272230053,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.35096379074912265,0.7019275814982453,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.2242037750450336,0.753074272093735,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.4865227447651335,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.3931071297381996,0.3931071297381996,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6374509225629832,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.256253751051188,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.38680104930979897,0.38680104930979897,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.484145396923222,0.6914847908746754,0.25634287681466134,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,3.0020180472607505,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2292864743359568,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5543537581667628,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.053261607117104,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.3786271494007978,0.7572542988015956,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.23438271047214337,0.4078408538448876,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.7667963402428579,0.5067540935862195,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.1905330402988801,0.7894278121988567,0.28631188180201417,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.40633643164012845,0.40633643164012845,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.39184550743163005,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.8629575251156855,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1785442421092271,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.4104539990218068,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,stromal,1.120120518793154,0.5232729790182673,1.2017230887783708,0.10668619356916369
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,0.0,0.0,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.2122156808014846,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.6460891678917744,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,2.026130300683395,0.6213519706980907,0.6994394752966596,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,epithelial,1.5614480856364508,0.8511263525294066,0.5478712393563328,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1879495476496396,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4749176746837828,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.4384524455529113,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5652427068437034,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.42858780603204866,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.3659671355281256,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5081841066297168,0.21626325200347857,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.9346320392986923,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.660139047859486,0.0,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,1.1639579653585468,0.41780759057381456,0.0
TD1,IAC,SN,Female,Homo sapiens,GSE189357,immune,0.0,0.5900187088014645,0.0,0.0
